dino,pino,mino,lino,muro,di,berlino
GOLDEN,,,,10000,949,4861,,,,,949,4861,,,,
0,conv2d,"(2, 1, 0, 3)",15,10000,949,4861,9998,10000,239,9759,2
1,conv2d,"(2, 0, 0, 7)",5,10000,949,4861,10000,10000,390,9610,0
2,conv2d,"(0, 0, 0, 13)",30,10000,968,4890,9360,10000,0,9360,640
3,conv2d,"(2, 0, 2, 7)",12,10000,949,4861,10000,10000,391,9609,0
4,conv2d,"(1, 2, 0, 13)",17,10000,949,4861,9999,10000,0,9999,1
5,conv2d,"(2, 1, 0, 0)",21,10000,949,4861,9984,10000,0,9984,16
6,conv2d,"(0, 1, 0, 8)",6,10000,949,4861,10000,10000,0,10000,0
7,conv2d,"(0, 1, 1, 2)",22,10000,964,4862,9738,10000,23,9715,262
8,conv2d,"(2, 1, 0, 8)",7,10000,949,4861,10000,10000,0,10000,0
9,conv2d,"(2, 1, 0, 12)",23,10000,944,4850,9784,10000,0,9784,216
10,conv2d,"(0, 0, 2, 6)",14,10000,949,4861,10000,10000,0,10000,0
